,,Daily SiteSage Data, 2018-01-01 15:57:00,Customer: ,Historic Green Village,Location: Bakery (F1)

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in kWh for day
Voltage is average voltage for day

 Date,"CH1-Bldg F1","CH3-PV Array F1","CH4-Plug: Front FridgeT","CH5-A/C: WSHP1","CH6-Range","CH8-Plug: Microwave","CH9-Wired: Dishwasher","CH10-Plug: Mixer","CH11-Plug: Fridge in Back","CH12-Plug: Front Display Case","CH13-Plug: Back Middle Freezer","CH14-Plug: Back Freezer near Wall","CH15-Lights: Indoor 1","CH16-DHW Gas Instant","CH17-Plug: Gas Oven","CH18-Plugs: Outlet 1","CH19-Plugs: Outlet 2","CH20-Plugs: Outlet 3","CH21-Plug: Front Small Fridge","CH22-Lights: Bath/Mechanical Room","CH23-Plug: Outdoor Receptacle","CH24-Lights: Outdoor 4",4065/Voltage,Outdoor Temp
2013-01-01,96.007,0.003,,18.770,0.373,0.440,0.089,0.063,6.648,11.618,22.151,12.812,3.575,2.174,0.009,0.001,0.003,1.667,14.109,0.929,1.129,2.708,121.48333,64.9
2013-01-02,126.185,0.011,,29.300,8.473,0.461,0.131,0.184,6.859,10.625,23.806,12.301,5.879,2.209,0.296,0.005,0.007,1.509,20.039,0.975,1.970,5.520,119.28333,66.5
2013-01-03,99.512,0.006,,16.186,5.483,0.873,0.157,0.173,7.547,10.855,23.694,12.978,5.477,1.948,0.347,0.046,0.004,1.593,7.987,1.038,1.772,4.155,119.67500,66.3
2013-01-04,84.079,0.001,,5.609,1.861,0.475,0.125,0.062,7.371,10.021,24.040,13.187,6.188,0.052,0.006,0.135,0.001,1.417,7.629,0.989,1.881,3.483,119.40833,60.5
2013-01-05,99.492,0.005,,17.607,4.993,0.557,0.178,0.069,7.031,10.462,22.224,12.389,5.576,0.080,0.311,2.631,0.008,1.734,9.200,1.101,1.673,3.177,119.61667,64.5
2013-01-06,102.528,0.006,,17.951,5.308,0.452,0.130,0.038,7.032,10.337,23.470,12.760,6.037,0.068,0.009,2.608,0.008,1.929,9.137,1.083,1.827,3.331,119.78750,67.8
2013-01-07,96.837,0.004,,12.165,4.313,0.608,0.090,0.105,7.221,10.260,24.853,13.035,5.974,0.087,0.576,2.622,0.005,1.825,9.145,1.064,1.682,2.996,119.49583,63.6
2013-01-08,113.366,0.009,,27.779,4.288,0.632,0.195,0.217,7.408,10.180,25.776,12.609,5.652,0.093,1.039,0.067,0.008,1.468,11.155,0.961,1.943,2.069,119.26250,69.7
2013-01-09,128.293,0.013,,34.815,7.355,0.467,0.218,0.163,7.099,10.591,25.424,12.466,6.830,0.086,0.459,0.112,0.011,1.479,11.782,1.038,1.965,4.064,119.36250,74.7
2013-01-10,119.621,0.010,,30.709,5.081,0.660,0.199,0.095,7.298,10.367,22.788,12.616,5.530,0.077,0.457,0.005,0.009,1.577,14.045,0.991,1.877,3.593,119.34167,73.2
2013-01-11,128.415,0.012,,33.320,5.331,0.561,0.164,0.234,6.998,10.720,21.789,12.260,6.997,0.084,0.268,0.024,0.010,1.385,20.448,1.082,2.086,4.535,119.17083,72.1
2013-01-12,116.668,0.010,,28.575,6.859,0.414,0.076,0.074,7.086,10.632,22.898,12.489,5.406,0.070,0.010,1.006,0.011,1.459,8.977,2.737,1.721,4.000,119.12917,71.5
2013-01-13,99.021,0.006,,22.423,3.812,0.393,0.079,0.105,6.423,10.204,20.845,12.540,4.196,0.068,0.007,0.910,0.008,1.536,8.491,2.083,0.300,2.083,119.47917,71
2013-01-14,113.622,0.009,,25.924,6.161,0.607,0.152,0.112,7.189,10.388,23.160,12.825,5.636,0.080,0.434,0.002,0.008,1.417,9.834,1.030,1.751,4.031,118.95000,70.5
2013-01-15,110.485,0.009,,24.785,5.685,0.501,0.085,0.072,6.908,10.263,24.098,12.400,6.376,0.066,0.010,0.015,0.007,1.443,9.814,1.065,1.597,4.021,119.28750,69.3
2013-01-16,115.662,0.010,,30.836,5.798,0.605,0.199,0.129,7.135,10.771,24.317,12.303,5.457,0.090,1.065,0.003,0.009,1.550,9.952,1.047,1.693,3.726,118.72500,70.7
2013-01-17,97.104,0.005,,14.492,4.633,0.905,0.166,0.120,7.361,9.924,24.247,13.135,5.583,0.079,0.870,0.168,0.003,1.812,10.684,1.076,1.850,3.802,119.19583,65.5
2013-01-18,92.135,0.002,,5.609,1.635,0.602,0.150,0.046,7.775,10.053,24.045,13.538,5.326,0.074,0.358,1.069,0.003,2.044,14.959,2.743,2.011,3.812,119.00833,55.7
2013-01-19,123.535,0.018,,25.775,4.742,0.410,0.509,0.299,6.667,10.676,25.961,12.607,5.032,6.869,0.675,1.073,0.010,1.498,20.593,2.523,1.608,3.217,119.16250,64.3
2013-01-20,106.956,0.006,,20.198,2.060,0.542,0.056,0.030,6.551,10.598,22.088,12.273,4.384,0.072,0.020,0.006,0.005,1.454,24.571,2.323,1.385,2.837,119.32083,66.3
2013-01-21,111.429,0.010,,20.600,4.758,0.646,0.086,0.044,6.773,10.762,21.524,12.069,4.935,0.071,0.018,0.005,0.009,1.527,25.351,1.065,1.698,3.317,119.36250,65.4
2013-01-22,97.494,0.005,,11.582,6.505,0.734,0.187,0.150,7.373,10.018,23.740,12.791,6.150,4.908,1.048,0.002,0.003,1.529,8.732,1.072,1.839,3.144,119.39167,61
2013-01-23,103.241,0.007,,16.036,7.160,0.790,0.161,0.286,7.815,9.966,26.516,13.070,5.362,2.716,0.532,0.080,0.005,1.557,9.565,0.947,1.853,2.881,119.45833,57.3
2013-01-24,101.669,0.006,,18.165,4.850,0.575,0.135,0.312,7.813,10.446,25.080,13.066,5.703,0.097,1.322,0.020,0.006,1.663,10.875,1.079,1.887,3.159,119.40000,58.1
2013-01-25,111.796,0.009,,19.175,9.580,0.510,0.187,0.168,7.386,10.284,25.272,12.973,6.346,0.092,0.279,0.010,0.010,1.794,13.553,3.143,2.044,3.440,119.31250,61
2013-01-26,106.842,0.009,,21.184,3.487,0.739,0.146,0.049,7.106,10.520,22.290,12.600,5.413,0.076,0.541,0.004,0.006,1.533,16.757,2.474,1.574,2.973,119.28750,62.5
2013-01-27,110.034,0.007,,22.601,3.779,0.443,0.089,0.127,6.875,10.616,22.646,12.549,4.845,0.088,0.353,0.004,0.006,1.800,19.406,1.983,1.557,3.025,119.39583,65.9
2013-01-28,124.340,0.012,,30.837,5.065,0.886,0.243,0.974,7.156,10.642,24.643,12.300,5.228,0.088,1.543,0.038,0.013,1.420,19.704,0.621,1.608,3.666,119.49583,68.5
2013-01-29,105.693,0.007,,27.753,3.307,0.797,0.080,0.749,7.592,11.645,24.712,13.171,5.138,0.081,0.882,0.003,0.010,1.309,8.495,0.662,1.737,3.529,119.44167,69.7
2013-01-30,109.549,0.982,,29.569,5.210,0.817,0.155,0.880,7.480,10.674,25.056,12.528,5.575,0.094,0.518,0.004,0.012,1.350,9.203,0.837,1.836,3.692,119.25833,70.5
2013-01-31,89.801,-9.286,,12.838,4.894,0.872,0.094,1.032,7.655,10.000,23.306,12.993,6.403,0.111,0.686,0.023,0.009,1.650,10.629,1.007,1.903,3.580,119.30833,59.4
