,,Daily SiteSage Data, 2018-01-01 15:58:00,Customer: ,Historic Green Village,Location: Bakery (F1),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain energy usage(production) in kWh for day,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for day,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Date,CH1-Bldg F1,CH3-PV Array F1,CH4-Plug: Front FridgeT,CH5-A/C: WSHP1,CH6-Range,CH8-Plug: Microwave,CH9-Wired: Dishwasher,CH10-Plug: Mixer,CH11-Plug: Fridge in Back,CH12-Plug: Front Display Case,CH13-Plug: Back Middle Freezer,CH14-Plug: Back Freezer near Wall,CH15-Lights: Indoor 1,CH16-DHW Gas Instant,CH17-Plug: Gas Oven,CH18-Plugs: Outlet 1,CH19-Plugs: Outlet 2,CH20-Plugs: Outlet 3,CH21-Plug: Front Small Fridge,CH22-Lights: Bath/Mechanical Room,CH23-Plug: Outdoor Receptacle,CH24-Lights: Outdoor 4,4065/Voltage,Outdoor Temp,
1/1/2016,135.037,-11.939,0,41.865,0.758,0.78,0.238,1.984,13.969,22.21,20.909,14.103,4.4,0.069,2.083,0.255,0,1.505,0,21.915,0.003,0,117.79583,74.7,147.046
1/2/2016,140.646,-6.258,0.005,34.501,0.865,0.783,0.224,2.287,14.342,22.52,22.602,15.602,6.333,0.075,0.582,0.342,0.002,1.626,1.674,21.909,0.051,0.983,118.325,68.6,147.308
1/3/2016,131.018,-3.876,0,29.12,2.428,0.894,0.361,2.152,14.336,21.837,22.573,13.957,5.113,0.081,2.073,0.48,0,1.663,1.306,21.877,0.037,0.513,119.10417,61.5,140.801
1/4/2016,127.278,-15.205,0,26.589,3.784,1.032,0.239,2.056,13.042,22.204,24.321,15.516,6.479,0.096,0.623,0.73,0,1.681,1.708,21.893,0.046,1.008,118.78333,59.6,143.047
1/5/2016,122.527,-12.197,0,26.328,2.043,0.622,0.267,1.997,11.98,21.9,22.564,15.275,6.187,0.068,2.254,0.523,0,1.655,1.646,21.631,0.052,0.809,118.57917,60.7,137.801
1/6/2016,124.758,-14.794,0,29.731,3.199,0.71,0.256,2.251,12.582,21.936,20.674,14.99,6.573,0.061,1.78,0.587,0,1.594,1.674,21.908,0.053,0.774,118.6,61.5,141.333
1/7/2016,133.892,-6.629,0,31.987,0.785,0.705,0.305,2.711,13.278,21.981,21.653,14.196,6.809,0.075,2.794,0.662,0.001,1.852,1.622,21.651,0.057,0.9,118.35833,60.3,144.024
1/8/2016,139.139,-13.406,0,40.12,1.968,0.843,0.253,2.373,13.786,22.014,21.449,15.494,6.773,0.052,1.521,0.748,0,1.752,1.62,22.288,0.051,0.85,118.675,67.8,153.955
1/9/2016,108.916,-0.704,0,19.781,0.112,0.395,0,1.4,11.349,21.326,21.754,13.107,1.39,0.036,0,0,0,1.17,0.498,22.026,0.004,0.032,120,67.8,114.38
1/10/2016,,,,,,,,,,,,,,,,,,,,,,,,67.5,0
1/11/2016,,,,,,,,,,,,,,,,,,,,,,,,55,0
1/12/2016,,,,,,,,,,,,,,,,,,,,,,,,55.6,0
1/13/2016,112.622,-8.065,0,14.757,1.25,0.721,0.111,1.829,10.542,22.775,21.277,14.419,5.966,0.072,0,0,0,1.672,1.495,21.711,0.042,0.88,118.875,56.9,119.519
1/14/2016,106.801,0,0,15.62,0.091,0.342,0,1,9.756,22.356,20.405,12.78,0.799,0.024,0,0,0,1.179,0,21.235,0.003,0,121.26667,59.8,105.59
1/15/2016,,,,,,,,,,,,,,,,,,,,,,,,66.7,0
1/16/2016,,,,,,,,,,,,,,,,,,,,,,,,67.3,0
1/17/2016,119.394,-10.452,0,24.221,0.683,0.682,0.117,1.879,13.649,23.073,22.054,14.725,4.397,0.063,1.365,0.723,0,1.679,1.239,21.947,0.031,0.612,119.4125,62.2,133.139
1/18/2016,115.148,-16.654,0,20.209,2.789,0.553,0.195,1.962,12.964,22.337,21.028,14.551,5.672,0.069,1.875,1.066,0,1.606,1.554,21.592,0.047,1.016,118.69583,55.2,131.085
1/19/2016,114.14,-16.053,0,20.995,2.222,0.887,0.284,1.995,11.647,21.688,22.332,14.136,6.424,0.083,2.252,0.408,0,1.702,1.705,20.931,0.052,0.983,118.325,53.2,130.726
1/20/2016,112.29,-13.41,0,17.442,1.95,0.719,0.114,1.819,11.868,21.861,21.696,14.483,6.059,0.068,1.169,0.707,0,1.671,1.663,21.535,0.047,0.946,118.8375,53.9,125.817
