,,Hourly SiteSage  Data, 2018-02-02 16:39:00,Customer: ,Historic Green Village,Location: Bakery (F1)

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in watt hours for hour
Voltage is average voltage for hour

 Date/Time,"CH1-Bldg F1","CH3-PV Array F1","CH4-Plug: Front FridgeT","CH5-A/C: WSHP1","CH6-Range","CH8-Plug: Microwave","CH9-Wired: Dishwasher","CH10-Plug: Mixer","CH11-Plug: Fridge in Back","CH12-Plug: Front Display Case","CH13-Plug: Back Middle Freezer","CH14-Plug: Back Freezer near Wall","CH15-Lights: Indoor 1","CH16-DHW Gas Instant","CH17-Plug: Gas Oven","CH18-Plugs: Outlet 1","CH19-Plugs: Outlet 2","CH20-Plugs: Outlet 3","CH21-Plug: Front Small Fridge","CH22-Lights: Bath/Mechanical Room","CH23-Plug: Outdoor Receptacle","CH24-Lights: Outdoor 4",4065/Voltage,Outdoor Temp
2017-02-01 00:00:00,4867,0,0,648,0,0,0,44,376,942,941,587,33,0,0,0,0,85,0,1217,0,0,121.3,57
2017-02-01 01:00:00,5355,0,0,976,0,0,0,52,446,936,870,763,33,0,0,0,0,85,0,1306,0,0,121.0,56
2017-02-01 02:00:00,5113,0,0,735,0,0,0,52,486,932,1019,585,33,0,0,0,0,85,0,1202,0,0,120.8,57
2017-02-01 03:00:00,5142,0,0,711,0,0,0,44,517,929,953,609,33,0,0,0,0,84,0,1244,0,0,120.6,57
2017-02-01 04:00:00,5189,0,0,998,0,0,0,18,372,922,842,559,33,0,0,0,0,85,0,1391,0,0,120.2,57
2017-02-01 05:00:00,4726,0,0,741,0,0,0,44,349,909,887,523,33,0,0,0,0,85,0,1170,0,0,119.3,57
2017-02-01 06:00:00,4694,0,0,648,0,0,0,60,468,891,784,531,32,0,0,0,0,86,0,1166,0,0,117.9,52
2017-02-01 07:00:00,5201,-90,0,706,0,0,0,133,512,887,857,536,187,1,68,0,0,88,0,1156,0,0,117.6,57
2017-02-01 08:00:00,7054,-248,0,2103,0,0,0,196,498,494,836,604,459,9,349,62,0,89,499,1158,4,33,116.7,58
2017-02-01 09:00:00,5319,-1443,0,1863,1,26,0,257,600,31,801,847,464,4,359,88,0,97,98,1172,3,41,116.1,61
2017-02-01 10:00:00,5218,-2449,0,1990,30,0,0,128,530,843,1005,630,464,1,359,87,0,99,98,1160,4,107,116.1,62
2017-02-01 11:00:00,6420,-2872,0,2360,769,9,78,95,373,1003,941,888,466,3,362,86,0,114,100,1164,4,112,116.5,64
2017-02-01 12:00:00,5558,-2943,0,2533,6,14,0,90,363,1010,845,843,467,1,367,86,0,91,100,1179,4,109,116.8,66
2017-02-01 13:00:00,6246,-2803,0,3011,6,26,0,131,531,1012,940,764,466,1,366,86,0,101,100,1169,4,108,116.7,67
2017-02-01 14:00:00,6416,-2340,0,2911,4,0,0,100,424,1027,833,900,467,1,368,86,0,97,100,1142,4,110,117.1,68
2017-02-01 15:00:00,6714,-1645,0,2868,3,0,82,137,467,1020,837,744,466,3,39,87,0,98,101,1143,4,114,117.5,68
2017-02-01 16:00:00,6964,-799,0,2713,1,0,0,113,395,1007,922,610,466,0,0,87,0,93,101,1370,5,114,117.5,68
2017-02-01 17:00:00,7042,-170,0,1404,929,0,0,120,566,950,870,600,463,2,0,58,0,159,29,1283,1,14,118.1,67
2017-02-01 18:00:00,6406,0,0,1456,0,0,0,107,613,924,1084,649,463,1,0,5,0,146,0,1182,0,0,118.5,66
2017-02-01 19:00:00,5146,0,0,611,0,0,0,34,545,910,940,812,79,0,0,0,0,54,0,1250,0,0,117.7,64
2017-02-01 20:00:00,4978,0,0,748,0,0,0,47,565,916,810,633,32,0,0,0,0,48,0,1256,0,0,118.2,63
2017-02-01 21:00:00,4772,0,0,705,0,0,0,52,498,927,894,603,33,0,0,0,0,49,0,1115,0,0,119.3,63
2017-02-01 22:00:00,5197,0,0,988,0,0,0,54,402,923,913,613,33,0,0,0,0,49,0,1378,0,0,119.1,63
2017-02-01 23:00:00,5039,0,0,826,0,0,0,54,369,933,987,571,33,0,0,0,0,48,0,1320,0,0,120.0,63
