,,Daily SiteSage Data, 2018-01-01 15:58:00,Customer: ,Historic Green Village,Location: Bakery (F1)

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in kWh for day
Voltage is average voltage for day

 Date,"CH1-Bldg F1","CH3-PV Array F1","CH4-Plug: Front FridgeT","CH5-A/C: WSHP1","CH6-Range","CH8-Plug: Microwave","CH9-Wired: Dishwasher","CH10-Plug: Mixer","CH11-Plug: Fridge in Back","CH12-Plug: Front Display Case","CH13-Plug: Back Middle Freezer","CH14-Plug: Back Freezer near Wall","CH15-Lights: Indoor 1","CH16-DHW Gas Instant","CH17-Plug: Gas Oven","CH18-Plugs: Outlet 1","CH19-Plugs: Outlet 2","CH20-Plugs: Outlet 3","CH21-Plug: Front Small Fridge","CH22-Lights: Bath/Mechanical Room","CH23-Plug: Outdoor Receptacle","CH24-Lights: Outdoor 4",4065/Voltage,Outdoor Temp
2015-01-01,113.343,-8.272,0.000,28.274,1.147,0.607,0.210,0.221,9.508,10.883,21.265,14.672,6.820,3.372,2.130,0.746,0.000,2.810,0.000,21.780,0.002,0.000,119.01667,65.1
2015-01-02,150.904,-10.713,0.000,45.428,4.389,0.737,0.354,1.036,10.222,14.790,22.432,14.685,10.582,3.368,3.782,1.041,0.000,3.290,0.000,22.523,0.003,1.495,118.57917,68.7
2015-01-03,123.321,-14.075,0.000,29.251,1.415,0.682,0.034,0.680,9.858,13.536,20.936,14.839,6.307,3.350,0.000,0.694,0.000,2.768,0.000,23.482,0.002,1.044,118.82083,73.9
2015-01-04,132.561,-14.267,0.000,41.076,1.886,0.718,0.242,0.724,9.606,14.843,20.742,13.610,6.333,3.378,2.375,0.000,0.000,2.778,0.000,23.075,0.002,0.675,119.30000,72.7
2015-01-05,123.300,-8.875,0.000,27.324,2.483,1.584,0.062,1.092,9.671,14.096,21.417,13.470,7.190,3.366,1.020,0.845,0.000,2.452,0.000,23.065,0.002,0.978,119.08333,68.7
2015-01-06,113.584,-11.299,0.000,23.583,1.891,0.974,0.316,1.043,9.478,13.113,21.790,13.446,6.415,3.368,0.784,0.710,0.000,2.075,0.000,22.430,0.002,0.990,118.97917,63.9
2015-01-07,105.973,-15.325,0.000,16.769,2.763,0.855,0.121,2.098,9.966,13.831,22.328,14.450,6.251,3.358,0.468,1.038,0.000,2.326,0.000,22.694,0.002,1.053,118.91250,61.1
2015-01-08,105.356,-15.508,0.000,12.093,4.800,0.604,0.236,3.069,9.650,12.986,22.443,14.822,6.905,3.348,2.910,0.795,0.000,2.235,0.000,21.587,0.002,0.890,118.21667,53
2015-01-09,100.705,-11.526,0.000,8.916,3.046,0.815,0.113,1.857,9.234,12.433,23.062,14.961,5.656,3.352,0.668,1.687,0.000,2.137,0.000,21.849,0.002,1.009,118.52917,54
2015-01-10,103.193,-12.623,0.000,7.824,4.658,0.656,0.148,2.001,9.174,12.076,22.593,14.626,5.902,3.341,1.042,1.716,0.000,2.299,0.000,21.478,0.003,1.033,118.28750,56.2
2015-01-11,114.226,-12.541,0.000,26.411,0.454,0.707,0.170,2.637,8.875,13.907,21.511,13.739,7.491,3.363,2.148,0.461,0.000,1.878,0.000,22.103,0.003,0.924,118.97917,67.2
2015-01-12,129.309,-4.274,0.000,26.670,1.175,0.755,0.212,3.718,9.830,15.032,23.007,14.434,6.075,3.374,2.225,1.162,0.000,0.806,0.000,22.571,0.003,1.102,119.18333,66.6
2015-01-13,118.599,-13.581,0.000,26.454,1.421,1.141,0.207,3.630,9.737,14.108,21.384,14.136,6.292,3.372,1.571,0.747,0.000,0.770,0.000,22.849,0.003,1.148,119.17083,65.4
2015-01-14,119.462,-7.656,0.000,17.196,5.182,0.736,0.118,3.316,10.166,15.229,22.443,14.581,6.642,3.357,0.000,0.948,0.000,1.412,0.000,22.558,0.002,1.115,119.00417,63.3
2015-01-15,116.436,-4.209,0.000,11.836,2.979,0.848,0.081,3.490,10.565,13.439,22.679,14.338,6.055,3.362,2.288,1.172,0.000,1.726,0.000,21.722,0.003,1.115,118.65833,58
2015-01-16,109.689,-14.632,0.000,16.573,2.096,0.704,0.254,3.472,10.569,13.260,22.351,15.275,5.569,3.369,1.830,1.132,0.000,1.370,0.000,22.394,0.003,1.067,119.05000,57.7
2015-01-17,110.369,-15.769,0.000,15.874,6.437,0.562,0.081,3.456,9.737,14.810,22.406,13.859,6.677,3.342,0.000,0.465,0.000,1.656,0.001,22.355,0.003,1.166,118.87917,59.4
2015-01-18,114.700,-12.679,0.000,19.715,2.874,0.569,0.120,2.886,9.686,14.645,21.983,14.202,7.059,3.382,0.549,2.132,0.000,1.725,0.000,23.012,0.004,0.979,119.72500,62.8
2015-01-19,113.497,-15.822,0.000,21.628,1.234,0.845,0.139,3.579,9.777,14.819,21.978,14.410,6.398,3.335,2.856,1.183,0.000,1.493,0.000,21.830,0.003,1.066,118.67500,60.8
2015-01-20,132.623,-6.291,0.000,22.328,2.767,0.741,0.184,3.526,9.292,14.062,22.764,14.064,6.999,3.369,2.317,1.127,0.000,1.645,0.000,22.622,0.003,1.081,119.02083,61.1
2015-01-21,125.083,-15.728,0.000,28.545,2.502,0.935,0.179,2.904,10.905,15.441,22.272,13.602,6.139,3.351,1.849,1.305,0.000,1.476,0.000,22.342,0.003,1.090,119.02917,65.2
2015-01-22,137.595,-15.533,0.000,39.929,2.045,0.685,0.275,4.386,10.996,15.397,20.799,14.019,7.279,3.354,3.829,0.624,0.000,1.534,0.000,22.432,0.004,1.180,119.09167,69.2
2015-01-23,126.472,-12.882,0.000,27.771,0.145,0.634,0.108,3.210,10.380,16.574,22.640,14.392,5.862,3.326,1.291,1.147,0.000,1.534,0.001,22.463,0.004,0.867,118.67083,69.8
2015-01-24,119.085,-14.124,0.000,21.098,2.480,0.722,0.251,3.614,9.837,16.183,23.127,16.673,6.282,3.347,0.559,0.684,0.000,1.500,0.001,22.554,0.003,1.277,119.28750,63.9
2015-01-25,98.407,-17.226,0.000,13.501,0.484,0.682,0.148,3.185,9.897,13.786,21.840,13.875,4.499,3.347,1.864,0.463,0.000,1.334,0.001,22.216,0.003,0.751,119.31667,59.1
2015-01-26,132.595,-15.576,0.001,22.895,4.125,0.642,0.156,3.754,10.063,16.359,23.095,13.809,5.846,3.340,2.499,1.167,0.002,1.493,0.001,22.714,0.004,1.119,119.02917,63.5
2015-01-27,120.798,-17.450,0.000,19.932,0.750,0.617,0.109,5.350,9.942,15.308,22.847,14.583,6.295,3.341,1.411,1.071,0.000,1.527,0.001,22.675,0.003,1.189,118.75417,61
2015-01-28,117.248,-18.237,0.000,18.517,3.483,1.040,0.219,3.211,10.343,14.423,23.868,14.024,6.575,3.334,2.964,1.075,0.000,1.476,0.000,22.048,0.003,1.056,118.35000,56.8
