,,Hourly SiteSage  Data, 2016-10-28 20:37:00,Customer: ,Historic Green Village @AMI

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in watt hours for hour
Voltage is average voltage for hour

 Date/Time,"CH1-Bldg F1","CH2-Bldg F1","CH3-Solar Input (F1)","CH4-No CT","CH5-WSHP","CH6-Range","CH7-Range","CH8-Microwave","CH9-Dishwasher","CH10-Mixer","CH11-Fridge in Back","CH12-Front Display Case","CH13-Back Middle Freezer","CH14-Back Freezer near Wall","CH15-Lighting{1}","CH16-Gas Water Heater","CH17-Gas Convection Oven","CH18-Receptacle 1","CH19-Receptacle 2","CH20-Receptacle 3","CH21-Front Small Fridge","CH22-Bath/Mechanical Room","CH23-Outdoor Receptacle","CH24-Lighting Outdoor",Outdoor Temp
2013-01-01 00:00:00,2187,1269,0,0,359,5,0,14,0,0,343,477,1003,505,36,92,0,0,0,53,615,17,0,22,56
2013-01-01 01:00:00,2019,1298,0,0,365,5,0,14,0,0,252,462,917,538,36,93,0,0,0,52,588,17,0,22,57
2013-01-01 02:00:00,2077,1277,0,0,335,5,0,14,0,0,287,458,973,544,36,94,0,0,0,51,572,18,0,21,58
2013-01-01 03:00:00,2075,1335,0,0,333,4,0,14,0,0,239,517,1009,552,35,95,0,0,0,52,594,18,0,21,58
2013-01-01 04:00:00,2078,1294,0,0,333,4,0,14,0,0,315,534,922,492,35,96,0,0,0,52,594,18,0,21,58
2013-01-01 05:00:00,2048,1336,0,0,441,5,0,13,0,0,236,512,938,499,35,95,0,0,0,52,590,18,0,22,57
2013-01-01 06:00:00,2104,1310,0,0,387,5,0,13,0,0,302,488,943,524,34,96,0,0,0,51,578,18,0,21,57
2013-01-01 07:00:00,1982,1266,0,0,388,4,0,13,0,0,248,478,887,508,34,96,0,0,0,50,557,18,0,21,57
2013-01-01 08:00:00,1922,1223,0,0,319,5,0,13,0,0,307,473,819,526,33,94,0,0,0,50,535,18,0,21,57
2013-01-01 09:00:00,2269,1480,0,0,719,6,0,12,0,0,195,420,1161,627,33,92,0,0,0,52,515,17,0,21,64
2013-01-01 10:00:00,2007,1276,0,0,403,6,0,13,0,0,296,413,890,604,33,93,0,0,0,52,536,17,0,21,68
2013-01-01 11:00:00,2500,1834,0,0,1363,6,0,13,0,0,231,466,1003,509,131,93,0,0,0,72,564,26,0,21,71
2013-01-01 12:00:00,3101,3054,0,0,1671,125,118,51,0,0,347,776,883,572,575,81,1,0,0,155,639,112,178,421,73
