,,Hourly SiteSage  Data, 2018-02-03 16:26:00,Customer: ,Historic Green Village,Location: Bakery (F1)

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in watt hours for hour
Voltage is average voltage for hour

 Date/Time,"CH1-Bldg F1","CH3-PV Array F1","CH4-Plug: Front FridgeT","CH5-A/C: WSHP1","CH6-Range","CH8-Plug: Microwave","CH9-Wired: Dishwasher","CH10-Plug: Mixer","CH11-Plug: Fridge in Back","CH12-Plug: Front Display Case","CH13-Plug: Back Middle Freezer","CH14-Plug: Back Freezer near Wall","CH15-Lights: Indoor 1","CH16-DHW Gas Instant","CH17-Plug: Gas Oven","CH18-Plugs: Outlet 1","CH19-Plugs: Outlet 2","CH20-Plugs: Outlet 3","CH21-Plug: Front Small Fridge","CH22-Lights: Bath/Mechanical Room","CH23-Plug: Outdoor Receptacle","CH24-Lights: Outdoor 4",4065/Voltage,Outdoor Temp
2015-01-01 00:00:00,4041,0,0,571,5,12,0,0,368,730,800,599,33,142,0,0,0,78,0,889,0,0,120.5,62
2015-01-01 01:00:00,3535,0,0,295,5,12,0,0,395,281,903,609,33,142,0,0,0,78,0,857,0,0,120.9,62
2015-01-01 02:00:00,4415,0,0,692,5,12,0,0,482,582,863,575,33,142,0,0,0,80,0,1113,0,0,120.7,61
2015-01-01 03:00:00,4031,0,0,682,5,11,0,0,326,450,946,577,33,140,0,0,0,75,0,895,0,0,119.8,61
2015-01-01 04:00:00,3582,0,0,316,5,12,0,0,301,417,936,541,34,141,0,0,0,71,0,890,0,0,119.9,61
2015-01-01 05:00:00,4087,0,0,585,5,11,0,0,475,607,818,568,33,141,0,0,0,77,0,903,0,0,119.8,62
2015-01-01 06:00:00,3593,0,0,419,5,12,0,0,356,274,869,552,33,139,0,0,0,76,0,919,0,0,119.2,62
2015-01-01 07:00:00,3619,-74,0,288,5,21,0,0,315,727,787,553,32,137,0,0,0,79,0,814,0,0,117.9,62
2015-01-01 08:00:00,3309,-309,0,345,5,30,0,0,424,164,769,544,36,135,0,0,0,79,0,1027,0,0,116.7,63
2015-01-01 09:00:00,3491,-719,0,631,5,30,0,0,329,792,823,536,38,136,0,0,0,75,0,884,0,0,117.2,63
2015-01-01 10:00:00,2508,-956,0,300,5,31,0,0,282,96,741,603,38,137,0,0,0,72,0,926,0,0,117.7,64
2015-01-01 11:00:00,3610,-1129,0,712,5,31,0,0,453,860,860,732,37,136,0,0,0,78,0,875,0,0,117.6,64
2015-01-01 12:00:00,2462,-1345,0,577,5,31,0,0,307,73,742,517,38,138,0,0,0,79,0,874,0,0,118.4,65
2015-01-01 13:00:00,4465,-1559,0,1057,5,35,42,11,387,897,1011,608,510,143,358,0,0,83,0,861,0,0,118.7,67
2015-01-01 14:00:00,6791,-901,0,3535,32,34,0,23,453,81,1013,535,580,139,358,59,0,144,0,1003,0,0,118.5,68
2015-01-01 15:00:00,6214,-763,0,2409,278,35,0,25,355,667,779,587,577,142,360,73,0,140,0,887,0,0,119.0,69
2015-01-01 16:00:00,6773,-402,0,2667,97,34,41,28,383,287,915,587,576,141,358,73,0,191,0,897,0,0,119.2,68
2015-01-01 17:00:00,6842,-111,0,2103,623,34,0,34,437,299,862,609,576,141,359,73,0,189,0,889,0,0,118.9,69
2015-01-01 18:00:00,7341,0,0,2908,6,13,82,22,519,689,769,539,576,141,335,72,0,213,0,858,0,0,118.4,68
2015-01-01 19:00:00,5522,0,0,1664,6,23,0,2,453,140,801,701,575,142,0,73,0,240,0,850,0,0,119.2,68
2015-01-01 20:00:00,6161,0,0,1832,6,17,0,37,473,460,773,828,575,141,0,73,0,199,0,999,0,0,119.1,69
2015-01-01 21:00:00,6721,0,0,2000,5,94,0,34,414,553,1133,923,574,140,0,73,0,184,0,892,0,0,119.2,69
2015-01-01 22:00:00,4510,0,0,489,5,12,0,0,376,199,1111,651,564,140,0,98,0,134,0,874,0,0,119.5,68
2015-01-01 23:00:00,5698,0,0,1189,5,12,43,0,435,543,1228,587,672,144,0,75,0,85,0,893,0,0,120.4,68
2015-01-02 00:00:00,5732,0,0,1278,5,13,86,0,534,546,978,667,673,145,0,57,0,85,0,896,0,0,120.5,68
2015-01-02 01:00:00,4009,0,0,881,5,13,0,0,359,168,944,577,35,141,0,0,0,82,0,879,0,0,120.5,67
2015-01-02 02:00:00,4617,0,0,1038,4,14,0,0,354,613,912,580,36,143,0,0,0,82,0,1057,0,0,121.4,66
2015-01-02 03:00:00,4122,0,0,760,3,14,0,0,326,494,831,581,36,143,0,0,0,80,0,971,0,0,121.6,66
2015-01-02 04:00:00,3962,0,0,749,3,14,0,0,447,203,881,569,36,143,0,0,0,75,0,942,0,0,121.7,65
2015-01-02 05:00:00,4138,0,0,686,4,13,0,0,398,619,913,497,35,143,0,0,0,71,0,902,0,0,121.1,65
2015-01-02 06:00:00,3834,0,0,678,5,13,0,0,306,444,792,533,35,141,0,0,0,71,0,894,0,0,120.3,65
2015-01-02 07:00:00,4712,-52,0,995,5,22,0,0,376,402,931,527,407,141,0,0,0,133,0,873,0,24,118.2,65
2015-01-02 08:00:00,6833,-272,0,1484,1231,34,0,0,465,697,768,723,577,134,0,0,0,188,0,973,0,44,116.3,64
2015-01-02 09:00:00,5050,-497,0,1383,72,33,0,217,359,421,798,529,582,135,0,50,0,182,0,857,0,53,116.3,65
2015-01-02 10:00:00,6361,-996,0,1274,652,37,0,104,460,954,1001,505,581,135,0,69,0,120,0,958,0,134,115.8,66
2015-01-02 11:00:00,6371,-1557,0,1811,5,87,0,116,493,974,1044,516,582,135,223,70,0,116,0,946,0,135,116.2,68
2015-01-02 12:00:00,7333,-2044,0,2952,513,118,0,77,476,949,787,497,582,136,333,70,0,122,0,892,0,136,117.0,70
2015-01-02 13:00:00,7498,-2082,0,3335,425,48,39,80,386,901,806,558,580,138,343,70,0,120,0,921,0,132,117.1,73
2015-01-02 14:00:00,7360,-1595,0,3397,6,38,40,63,340,450,794,622,578,138,331,71,0,132,0,1079,0,134,117.3,71
2015-01-02 15:00:00,8087,-1155,0,3214,5,38,0,74,466,961,810,620,581,137,369,71,0,138,0,980,0,136,117.3,73
2015-01-02 16:00:00,9168,-339,0,3390,5,37,0,73,413,973,1011,630,581,142,350,70,0,114,0,989,0,135,117.2,73
2015-01-02 17:00:00,8024,-133,0,2721,5,32,71,85,382,679,1056,875,583,142,357,70,0,126,0,883,0,137,117.2,73
2015-01-02 18:00:00,7898,12,0,2287,502,13,0,59,421,428,1285,804,582,137,367,71,0,181,0,884,0,57,117.4,70
2015-01-02 19:00:00,7727,0,0,2026,898,35,76,46,447,648,991,556,581,139,364,71,0,185,0,877,0,45,118.1,70
2015-01-02 20:00:00,7506,0,0,2794,5,12,0,22,490,649,969,619,581,141,369,73,0,191,0,939,0,46,119.0,71
