,,Hourly SiteSage  Data, 2018-02-03 12:24:00,Customer: ,Historic Green Village,Location: Bakery (F1),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain energy usage(production) in watt hours for hour,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for hour,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 Date/Time,CH1-Bldg F1,CH3-PV Array F1,CH4-Plug: Front FridgeT,CH5-A/C: WSHP1,CH6-Range,CH8-Plug: Microwave,CH9-Wired: Dishwasher,CH10-Plug: Mixer,CH11-Plug: Fridge in Back,CH12-Plug: Front Display Case,CH13-Plug: Back Middle Freezer,CH14-Plug: Back Freezer near Wall,CH15-Lights: Indoor 1,CH16-DHW Gas Instant,CH17-Plug: Gas Oven,CH18-Plugs: Outlet 1,CH19-Plugs: Outlet 2,CH20-Plugs: Outlet 3,CH21-Plug: Front Small Fridge,CH22-Lights: Bath/Mechanical Room,CH23-Plug: Outdoor Receptacle,CH24-Lights: Outdoor 4,4065/Voltage,Outdoor Temp
1/1/2016 0:00,5428,0,0,1125,5,14,0,53,581,956,896,614,33,0,0,0,0,50,0,1105,0,0,119.7,74
1/1/2016 1:00,5041,0,0,1139,5,13,0,67,427,956,879,738,33,0,0,0,0,48,0,873,0,0,119.9,74
1/1/2016 2:00,4774,0,0,751,5,14,0,66,554,951,835,602,33,0,0,0,0,48,0,932,0,0,119.4,73
1/1/2016 3:00,5189,0,0,1098,5,13,0,34,571,956,1068,549,33,0,0,0,0,48,0,932,0,0,119.8,73
1/1/2016 4:00,5224,0,0,1212,4,14,0,33,658,964,914,555,33,0,0,0,0,49,0,887,0,0,120.5,73
1/1/2016 5:00,4798,0,0,797,4,14,0,68,545,964,935,564,33,1,0,0,0,49,0,854,0,0,120.5,73
1/1/2016 6:00,5136,0,0,1122,5,14,0,67,536,953,883,529,33,0,0,0,0,49,0,1096,0,0,119.6,73
1/1/2016 7:00,4934,-89,0,1080,5,24,0,59,520,939,859,534,33,1,0,0,0,49,0,985,0,0,118.6,73
1/1/2016 8:00,4345,-401,0,790,5,31,0,34,552,922,823,526,33,1,0,0,0,50,0,839,0,0,117.3,73
1/1/2016 9:00,4309,-725,0,1167,5,31,0,40,482,904,752,510,32,1,0,0,0,50,0,838,0,0,115.7,75
1/1/2016 10:00,3486,-1905,0,1126,7,32,0,68,516,900,782,514,31,1,0,0,0,50,0,867,0,0,115.3,76
1/1/2016 11:00,3506,-2134,0,1249,8,32,0,96,481,914,831,525,32,0,0,0,0,48,0,855,0,0,116.4,80
1/1/2016 12:00,3884,-2068,0,1316,6,32,0,109,498,925,817,519,49,1,0,0,0,47,0,1063,0,0,117.3,82
1/1/2016 13:00,7001,-1910,0,3531,8,267,18,127,655,907,989,627,578,6,297,18,0,98,0,832,0,0,116.3,76
1/1/2016 14:00,7072,-1375,0,3406,5,36,62,114,632,903,913,572,578,5,358,43,0,91,0,830,0,0,116.6,76
1/1/2016 15:00,8347,-785,0,3552,554,36,0,139,725,907,972,611,577,4,345,43,0,94,0,818,0,0,117,76
1/1/2016 16:00,8660,-424,0,3876,66,35,0,122,754,902,817,773,579,4,353,43,0,97,0,829,0,0,116.8,75
1/1/2016 17:00,7985,-117,0,3269,5,36,80,188,514,887,779,525,577,8,337,42,0,108,0,908,0,0,115.6,76
1/1/2016 18:00,8376,0,0,3344,6,15,39,190,552,889,809,755,578,11,341,43,0,95,0,985,0,0,116,74
1/1/2016 19:00,6921,0,0,2345,5,13,38,66,733,892,847,634,348,8,50,20,0,84,0,931,0,0,116.2,74
1/1/2016 20:00,5016,0,0,940,5,13,0,47,638,908,907,618,32,2,0,0,0,49,0,852,0,0,116.7,74
1/1/2016 21:00,5310,0,0,1367,6,13,0,49,672,924,833,583,32,0,0,0,0,46,0,940,0,0,118,74
1/1/2016 22:00,5218,0,0,1180,6,13,0,72,640,928,834,583,32,1,0,0,0,49,0,872,0,0,118.3,73
1/1/2016 23:00,5050,0,0,1074,5,14,0,66,519,947,922,533,33,2,0,0,0,49,0,980,0,0,119.6,72
1/2/2016 0:00,5565,0,0,1175,5,14,0,66,579,953,1014,815,33,1,0,0,0,49,0,995,0,0,120.2,73
1/2/2016 1:00,5373,0,0,1357,5,14,0,38,549,953,872,628,33,1,0,0,0,49,0,951,0,0,120,73
1/2/2016 2:00,5131,0,0,1203,5,14,0,38,544,953,900,557,33,0,0,0,0,48,0,978,0,0,120.1,72
1/2/2016 3:00,5187,0,0,1209,5,13,0,56,586,955,882,554,33,0,0,0,0,47,0,877,0,0,120.2,72
