Local Time,SolarAzimuth (Degrees),SolarZenith (Degrees),Latitude (Degrees ),Longitude (Degrees),AirPressure (mBar),IrrDiffuse (W/m2),TempDiffuse (Degrees celcius),IrrDirect (W/m2),TempDirect (Degrees celcius),IrrGlobal (W/m2),Sunshine (number of seconds in this interval),SunshineDuration (hours of today),GlobalSum (KWh/m2)
 2017-04-01 00:00:00,344.0175,146.78,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:01:00,344.4594,146.84,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:02:00,344.9027,146.8983,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:03:00,345.3475,146.955,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:04:00,345.7936,147.01,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:05:00,346.2411,147.0633,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:06:00,346.6898,147.1149,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:07:00,347.1399,147.1648,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:08:00,347.5911,147.2131,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:09:00,348.0436,147.2596,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:10:00,348.4972,147.3044,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:11:00,348.9519,147.3475,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:12:00,349.4077,147.3889,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:13:00,349.8645,147.4285,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:14:00,350.3223,147.4664,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:15:00,350.7811,147.5025,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:16:00,351.2407,147.5369,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:17:00,351.7013,147.5695,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:18:00,352.1626,147.6004,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:19:00,352.6248,147.6294,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:20:00,353.0877,147.6568,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:21:00,353.5512,147.6823,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:22:00,354.0155,147.706,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:23:00,354.4803,147.728,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:24:00,354.9457,147.7481,27.5312,-82.7331,1013.25,0,21.5,0,21.1,0,0,0,0
 2017-04-01 00:25:00,355.4116,147.7665,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:26:00,355.8779,147.7831,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:27:00,356.3447,147.7979,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:28:00,356.8118,147.8108,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:29:00,357.2793,147.822,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:30:00,357.747,147.8313,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:31:00,358.2149,147.8389,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:32:00,358.6831,147.8446,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:33:00,359.1513,147.8485,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:34:00,359.6197,147.8506,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:35:00,0.088,147.8509,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:36:00,0.5564,147.8494,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:37:00,1.0247,147.8461,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:38:00,1.4928,147.841,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:39:00,1.9609,147.834,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:40:00,2.4287,147.8253,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:41:00,2.8962,147.8147,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:42:00,3.3634,147.8023,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:43:00,3.8303,147.7881,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:44:00,4.2968,147.7722,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:45:00,4.7629,147.7544,27.5312,-82.7331,1013.25,0,21.4,0,21,0,0,0,0
 2017-04-01 00:46:00,5.2284,147.7348,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
 2017-04-01 00:47:00,5.6934,147.7134,27.5312,-82.7331,1013.25,0,21.5,0,21,0,0,0,0
